"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22659","Regional settings opens","chromium","2026-06-16","passed","2026-06-16","[CYSEC DE] Header regional settings","header\header-regional-settings.spec.ts","",""
"","16896","Switching language keeps the license","chromium","2026-06-16","passed","2026-06-16","[CYSEC EN] Header regional settings","header\header-regional-settings.spec.ts","",""
"","9237","Logo opens main page","chromium","2026-06-16","passed","2026-06-16","[SCB AR] Header navigation","header\header-navigation.spec.ts","",""
"","8611","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB EN] Trading / Learn / All resources","content\trading.spec.ts","",""
"","16068","Cyprus appears in the country search results","chromium","2026-06-16","passed","2026-06-16","[CYSEC DE] Header regional settings","header\header-regional-settings.spec.ts","",""
"","15172","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC IT] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","15214","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC NL] Trading / Learn / All resources","content\trading.spec.ts","",""
"","9122","Logo opens main page","chromium","2026-06-16","passed","2026-06-16","[SCB RU] Header navigation","header\header-navigation.spec.ts","",""
"","8765","Open account button opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CMA AR] Header auth entry","header\header-auth.spec.ts","",""
"","8868","[background_banner_block_btn1_signup] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[FCA EN] Trading / Learn / All resources","content\trading.spec.ts","",""
"","9337","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CMA AR] Trading / Learn / Technical analysis","content\trading.spec.ts","",""
"","16852","Switching language keeps the license","chromium","2026-06-16","passed","2026-06-16","[CYSEC RO] Header regional settings","header\header-regional-settings.spec.ts","",""
"","9294","Albania can be selected","chromium","2026-06-16","passed","2026-06-16","[SCB ZH_HANS] Header regional settings","header\header-regional-settings.spec.ts","",""
